id,password,last_login,is_superuser,username,first_name,last_name,is_staff,is_active,date_joined,email,gender,birth_date,age,investment_style,annual_income,savings_goal
1,,,False,testuser1,효준,한,False,True,2024-11-25 00:51:03.359715+00:00,testuser1@example.com,M,1982-01-22,42,moderate,2,1
2,,,False,testuser2,빛영,오,False,True,2024-11-25 00:51:03.364493+00:00,testuser2@example.com,M,1999-02-21,25,aggressive,0,0
3,,,False,testuser3,진찬,윤,False,True,2024-11-25 00:51:03.365498+00:00,testuser3@example.com,F,1975-11-13,49,moderate,5,2
4,,,False,testuser4,라율,명,False,True,2024-11-25 00:51:03.366502+00:00,testuser4@example.com,F,2001-11-09,23,aggressive,4,2
5,,,False,testuser5,민아,박,False,True,2024-11-25 00:51:03.367501+00:00,testuser5@example.com,M,2004-11-14,20,conservative,4,3
6,,,False,testuser6,빛채,명,False,True,2024-11-25 00:51:03.368499+00:00,testuser6@example.com,M,1996-05-21,28,aggressive,2,5
7,,,False,testuser7,가경,표,False,True,2024-11-25 00:51:03.369511+00:00,testuser7@example.com,M,1986-12-08,38,conservative,3,4
8,,,False,testuser8,빛민,황,False,True,2024-11-25 00:51:03.370494+00:00,testuser8@example.com,M,1972-08-29,52,moderate,0,0
9,,,False,testuser9,희원,김,False,True,2024-11-25 00:51:03.371501+00:00,testuser9@example.com,M,1980-11-01,44,moderate,2,1
10,,,False,testuser10,솔인,류,False,True,2024-11-25 00:51:03.372498+00:00,testuser10@example.com,M,1995-06-21,29,conservative,3,3
11,,,False,testuser11,영인,황,False,True,2024-11-25 00:51:03.373499+00:00,testuser11@example.com,M,2003-05-03,21,moderate,1,3
12,,,False,testuser12,도찬,황,False,True,2024-11-25 00:51:03.374561+00:00,testuser12@example.com,F,1992-12-28,32,aggressive,0,2
13,,,False,testuser13,희혁,조,False,True,2024-11-25 00:51:03.374561+00:00,testuser13@example.com,M,1986-02-02,38,conservative,3,1
14,,,False,testuser14,아우,민,False,True,2024-11-25 00:51:03.374561+00:00,testuser14@example.com,M,1972-02-21,52,conservative,3,2
15,,,False,testuser15,윤경,정,False,True,2024-11-25 00:51:03.374561+00:00,testuser15@example.com,M,1971-08-29,53,conservative,0,4
16,,,False,testuser16,현원,심,False,True,2024-11-25 00:51:03.374561+00:00,testuser16@example.com,F,1991-12-04,33,aggressive,5,1
17,,,False,testuser17,정아,강,False,True,2024-11-25 00:51:03.374561+00:00,testuser17@example.com,F,2003-11-29,21,conservative,1,4
18,,,False,testuser18,가인,정,False,True,2024-11-25 00:51:03.374561+00:00,testuser18@example.com,M,1998-11-10,26,aggressive,2,3
19,,,False,testuser19,희영,최,False,True,2024-11-25 00:51:03.374561+00:00,testuser19@example.com,F,2003-03-20,21,aggressive,1,3
20,,,False,testuser20,도기,오,False,True,2024-11-25 00:51:03.374561+00:00,testuser20@example.com,M,1981-10-22,43,moderate,4,3
21,,,False,testuser21,하석,신,False,True,2024-11-25 00:51:03.374561+00:00,testuser21@example.com,F,1995-03-15,29,conservative,2,0
22,,,False,testuser22,채후,허,False,True,2024-11-25 00:51:03.374561+00:00,testuser22@example.com,F,2004-10-10,20,aggressive,1,5
23,,,False,testuser23,예리,허,False,True,2024-11-25 00:51:03.374561+00:00,testuser23@example.com,F,2001-11-19,23,aggressive,3,0
24,,,False,testuser24,정원,서,False,True,2024-11-25 00:51:03.374561+00:00,testuser24@example.com,F,1991-04-24,33,aggressive,1,5
25,,,False,testuser25,아아,서,False,True,2024-11-25 00:51:03.374561+00:00,testuser25@example.com,F,1997-09-21,27,aggressive,5,5
26,,,False,testuser26,하수,차,False,True,2024-11-25 00:51:03.374561+00:00,testuser26@example.com,M,1999-07-16,25,moderate,2,5
27,,,False,testuser27,라호,윤,False,True,2024-11-25 00:51:03.374561+00:00,testuser27@example.com,M,1971-03-10,53,aggressive,4,3
28,,,False,testuser28,희원,서,False,True,2024-11-25 00:51:03.374561+00:00,testuser28@example.com,M,1979-05-23,45,moderate,3,1
29,,,False,testuser29,하찬,문,False,True,2024-11-25 00:51:03.390256+00:00,testuser29@example.com,M,2000-06-27,24,aggressive,5,0
30,,,False,testuser30,승찬,허,False,True,2024-11-25 00:51:03.391326+00:00,testuser30@example.com,M,1993-11-01,31,moderate,1,4
31,,,False,testuser31,을경,허,False,True,2024-11-25 00:51:03.391326+00:00,testuser31@example.com,F,1983-10-01,41,conservative,3,1
32,,,False,testuser32,효석,정,False,True,2024-11-25 00:51:03.391326+00:00,testuser32@example.com,M,2003-03-21,21,aggressive,4,5
33,,,False,testuser33,세수,전,False,True,2024-11-25 00:51:03.391326+00:00,testuser33@example.com,F,1998-12-05,26,conservative,2,3
34,,,False,testuser34,지리,강,False,True,2024-11-25 00:51:03.391326+00:00,testuser34@example.com,M,2002-10-12,22,aggressive,0,4
35,,,False,testuser35,승호,손,False,True,2024-11-25 00:51:03.391326+00:00,testuser35@example.com,F,1975-09-19,49,moderate,5,5
36,,,False,testuser36,하율,김,False,True,2024-11-25 00:51:03.391326+00:00,testuser36@example.com,M,1974-11-10,50,conservative,1,2
37,,,False,testuser37,도석,백,False,True,2024-11-25 00:51:03.391326+00:00,testuser37@example.com,F,1984-02-04,40,conservative,4,5
38,,,False,testuser38,도빈,윤,False,True,2024-11-25 00:51:03.391326+00:00,testuser38@example.com,F,1994-03-05,30,aggressive,0,2
39,,,False,testuser39,정은,최,False,True,2024-11-25 00:51:03.391326+00:00,testuser39@example.com,F,1996-06-18,28,moderate,0,0
40,,,False,testuser40,예은,황,False,True,2024-11-25 00:51:03.391326+00:00,testuser40@example.com,F,1987-05-02,37,conservative,1,2
41,,,False,testuser41,지서,표,False,True,2024-11-25 00:51:03.391326+00:00,testuser41@example.com,F,1971-08-14,53,aggressive,3,2
42,,,False,testuser42,빛빈,손,False,True,2024-11-25 00:51:03.391326+00:00,testuser42@example.com,F,2001-08-29,23,conservative,5,0
43,,,False,testuser43,승원,허,False,True,2024-11-25 00:51:03.391326+00:00,testuser43@example.com,M,1970-07-23,54,aggressive,3,0
44,,,False,testuser44,지석,류,False,True,2024-11-25 00:51:03.391326+00:00,testuser44@example.com,F,1997-09-19,27,moderate,2,3
45,,,False,testuser45,가환,황,False,True,2024-11-25 00:51:03.391326+00:00,testuser45@example.com,F,1993-09-24,31,moderate,4,4
46,,,False,testuser46,라담,변,False,True,2024-11-25 00:51:03.391326+00:00,testuser46@example.com,F,1976-10-29,48,conservative,2,0
47,,,False,testuser47,윤민,서,False,True,2024-11-25 00:51:03.407015+00:00,testuser47@example.com,F,1985-06-29,39,aggressive,5,2
48,,,False,testuser48,예호,표,False,True,2024-11-25 00:51:03.407015+00:00,testuser48@example.com,F,1996-01-08,28,moderate,2,5
49,,,False,testuser49,경영,조,False,True,2024-11-25 00:51:03.407015+00:00,testuser49@example.com,M,1995-09-12,29,conservative,5,5
50,,,False,testuser50,도채,장,False,True,2024-11-25 00:51:03.407015+00:00,testuser50@example.com,F,1997-09-09,27,conservative,3,0
51,,,False,testuser51,효준,박,False,True,2024-11-25 00:51:03.407015+00:00,testuser51@example.com,F,1995-03-21,29,moderate,1,3
52,,,False,testuser52,경율,최,False,True,2024-11-25 00:51:03.407015+00:00,testuser52@example.com,M,1974-05-16,50,conservative,4,5
53,,,False,testuser53,민아,신,False,True,2024-11-25 00:51:03.407015+00:00,testuser53@example.com,F,1975-11-13,49,aggressive,0,4
54,,,False,testuser54,민찬,명,False,True,2024-11-25 00:51:03.407015+00:00,testuser54@example.com,F,2000-08-02,24,aggressive,4,4
55,,,False,testuser55,빛원,변,False,True,2024-11-25 00:51:03.407015+00:00,testuser55@example.com,F,2001-12-06,23,conservative,0,2
56,,,False,testuser56,다찬,문,False,True,2024-11-25 00:51:03.407015+00:00,testuser56@example.com,M,1976-05-14,48,conservative,4,4
57,,,False,testuser57,도인,원,False,True,2024-11-25 00:51:03.407015+00:00,testuser57@example.com,M,2000-03-24,24,conservative,1,5
58,,,False,testuser58,주기,표,False,True,2024-11-25 00:51:03.407015+00:00,testuser58@example.com,F,1981-08-07,43,aggressive,2,1
59,,,False,testuser59,세리,민,False,True,2024-11-25 00:51:03.407015+00:00,testuser59@example.com,M,1978-08-28,46,conservative,3,5
60,,,False,testuser60,빛진,임,False,True,2024-11-25 00:51:03.407015+00:00,testuser60@example.com,M,1975-01-05,49,aggressive,5,3
61,,,False,testuser61,봄채,한,False,True,2024-11-25 00:51:03.407015+00:00,testuser61@example.com,M,1997-12-20,27,moderate,0,2
62,,,False,testuser62,가리,심,False,True,2024-11-25 00:51:03.407015+00:00,testuser62@example.com,F,1979-04-20,45,conservative,3,5
63,,,False,testuser63,다석,임,False,True,2024-11-25 00:51:03.407015+00:00,testuser63@example.com,M,1996-08-26,28,conservative,2,2
64,,,False,testuser64,민영,이,False,True,2024-11-25 00:51:03.422640+00:00,testuser64@example.com,M,1975-02-08,49,conservative,5,3
65,,,False,testuser65,정인,허,False,True,2024-11-25 00:51:03.422640+00:00,testuser65@example.com,M,1973-12-29,51,aggressive,2,5
66,,,False,testuser66,솔은,박,False,True,2024-11-25 00:51:03.422640+00:00,testuser66@example.com,M,2000-10-14,24,conservative,0,4
67,,,False,testuser67,승서,전,False,True,2024-11-25 00:51:03.422640+00:00,testuser67@example.com,M,1982-10-18,42,moderate,2,3
68,,,False,testuser68,승아,박,False,True,2024-11-25 00:51:03.422640+00:00,testuser68@example.com,F,2002-12-17,22,conservative,4,2
69,,,False,testuser69,승후,명,False,True,2024-11-25 00:51:03.422640+00:00,testuser69@example.com,M,2003-12-17,21,conservative,0,2
70,,,False,testuser70,효우,손,False,True,2024-11-25 00:51:03.422640+00:00,testuser70@example.com,F,1986-08-16,38,conservative,3,2
71,,,False,testuser71,주담,백,False,True,2024-11-25 00:51:03.422640+00:00,testuser71@example.com,F,2004-02-16,20,moderate,3,0
72,,,False,testuser72,가빈,이,False,True,2024-11-25 00:51:03.422640+00:00,testuser72@example.com,F,2005-10-05,19,moderate,4,5
73,,,False,testuser73,솔서,양,False,True,2024-11-25 00:51:03.422640+00:00,testuser73@example.com,M,1994-08-04,30,moderate,1,5
74,,,False,testuser74,봄리,신,False,True,2024-11-25 00:51:03.422640+00:00,testuser74@example.com,M,1971-10-14,53,aggressive,5,0
75,,,False,testuser75,지빈,조,False,True,2024-11-25 00:51:03.422640+00:00,testuser75@example.com,F,2003-08-03,21,aggressive,5,0
76,,,False,testuser76,빛영,윤,False,True,2024-11-25 00:51:03.422640+00:00,testuser76@example.com,M,1974-02-01,50,moderate,1,3
77,,,False,testuser77,빛인,유,False,True,2024-11-25 00:51:03.422640+00:00,testuser77@example.com,M,1990-04-18,34,conservative,4,0
